context,wrong,right
"Pasalnya, peringatan ini menjadi bukti betapa tidak sensitifnya lembaga negara untuk turut berkampanye menyeruakan pemberantasan korupsi, karena hanya ada satu lembaga negara yang turut peran serta yakni Komisi Yudisial atau KY.   ""Kenapa kami merayakan dengan cara yang populer contohnya Kampung Antikorupsi ini menegaskan fakta yang ada sekarang, bahasa simbol ini sangat jelas KPK hanya didukung sama yahhh.. yang ini-ini saja.",yahhh..,yahhh
Presiden menjelaskana urutan pertamuan tersebut dimulai pengantar yang disampaikannya tentang perkembangan situas dunia dan seperti apa dampak dan impilkasinya terhadap ekonomi indonesia.,impilkasinya,implikasinya
"Kebeteulan Mbak Yenny masih ada di London, pasti jadi kami belum bersikap.",Kebeteulan,kebetulan
"JawaPos.com - Gelandang Juventus, Paul Pogba, mengak umat muslim untuk bersedekah di bulan Ramadan.",mengak,mengajak
"Selanjutnya, kata dia, melakukan perbaikan sarana dan prasarana serta mengembangkan industri kreatif karena setiap wisawan baik manca negara maupun domistik akan mencari souvenir khas dari Danau Toba.",wisawan,wisatawan
"Tidak berapa lama, alram mobil terdengar dan pintu mobil sudah terbuka dan uang gaji yang baru diambil telah raib, diduga dicuri tiga orang yang mengendarai sepeda motor.",alram,alarm
"Menurut pantauan Antara, ratusan mobil berjenis taksi, cold, minibus dan bajay sedang menuju Monas untuk menggelar aksi di depan kantor Kemkomnifo dan Istana Merdeka.",Kemkomnifo,Kemkominfo
"""Benar-benar ironis kami membeli air kami dari Isarel cuma karena kami tak memiliki jenis kendali apa pun atas tanah dan selanjutnya kami tak diizinkan menggali sumur air atau membeli pompa air,"" katanya.",Isarel,Israel
"""Langkah itu untuk memperluas akses informasi dan kepemilikan serta kepemahaman masa yang ditawarkan lembaga.""",kepemahaman,pemahaman
"Bahkan kabar terakhir yang didengan Dadi Kurnia, SMP Proklamasi baru saja mengurus perizinan kelembagaan.",didengan,dengan
"""Saya menyukai sirkuitnya, tikungan corkcrew (tikungan ulir seperti pembuka tutup botol di Turns 8 dan 8A) menyenangkan dan fans Amerika selalu membuat atmosfirnya luar biasa bagi kami.",corkcrew,Corkscrew
"Wamenhub mengemukkan Inaportnet merupakan portal elektronis yang terbuka dan netral guna memfasilitasi pertukaran data dan informasi layanan kepelabuhanan secara cepat, aman, netral dan mudah.",mengemukkan,menemukan
Ulat-ulat bulu itu menyarang pohon waru dan sebagian pohon Kresen.,Kresen,Kersen
"Keaggotaan tim antara lain Menteri ESDM, Menkeu, Menteri Agraria, Menteri Lingkungan Hidup dan Kehutanan, Menkum dan HAM, Mendagri, dan Bappenas.",Keaggotaan,keanggotaan
"Ada yang berasal dari Argentina, Afrika bagian utara..setidaknya ada 10 orang!",utara..setidaknya,utara.Setidaknya
"Selain itu, pegawai negeri juga harus menuliskan kembali diskripsi pekerjaannya, membuat standar porsedur operasional, dan melakukan personal assesment.",porsedur,prosedur
"Selain itu, PT MHP juga membantu rehabilitasi sekolah, rumah ibadah, dan berbagai kegitaan sosial lainnya.",kegitaan,kegiatan
"ADHD adalah gangguan perkembangan dalam peningtakan aktivitas motorik anak-anak, hingga menyebabkan aktivitas yang tak lazim dan cenderung berlebihan.",peningtakan,peningkatan
"Demikian juga jaringan lisrtik dan air bersih, semoga bisa  difisilitasi Kemenpera,  ujarnya.",lisrtik,listrik
"HEYA tahun ini juga akan didukung oleh banyak desainer dari berbagai negara, seperti Debaj Debaj Collection (Qatar), Naseem Al Mandalos (Bahrain) dan L. Russo Urban Couture dari Italia.",Mandalos,Mandala
"""Kerukunan antar umat bergamaa bukan sesuatu yang begitu saja bisa kita dapatkan, bukan jatuh dari langit,"" ujar Politisi Partai Persatuan Pembangunan ini.",bergamaa,bernama
"Selanjutnya, perkara dengan teradu Ketua dan anggota KPU Murung Raya, yakni, Karnedi, Asliter, Rukmawansyah, Alponisus Djinu dan Yulilis.",Alponisus,Alfonsus
Korban merupakan mahasiswa Universitas Tadulako Fakultas Ilmu Sosail dan politik.,Sosail,Sosial
"Tatang menambahkan beberapa peristiwa keji yang ditontonnya dalam tayangan-tayang kriminal maupun berita, soal ibu yang membunuh anaknya yang berusia tiga tahun karena tidak mampu lagi memberi makan, hingga suami istri yang juga saling bunuh dan kemudian bunuh diri.",tayangan-tayang,tayangan-tayangan
Ia menerangkan langkah gugatan praperadilan ini diambil untuk menghingkan praktek jual-beli pasal dalam proses penyusunan undang-undang.,menghingkan,menghilangkan
"Banyak studi menunjukkan, rata-rata prevalensi epilepsi aktif 8,2 per 1000 penduduk, sedangkan angka insidensi mencapai 50-70 kasus per 100 ribu penduduk.",insidensi,insiden
"Sebelumnya, pengiriman gas dari PT Pertamina EP Bunyu Field ke PT PLN Tarakan dilakukan melalui jalur pipa gas milik Medco Tarakan dari Pulau Bunyu sampai dengan Gas Plant G8 PT Medco Tarakan, kemudian dari G8 ditingkatkan tekananannya agar gas dapat sampai di fasilitas mesin pembangkit listrik milik PT PLN Tarakan di Gunung Belah.",tekananannya,tekanannya
Pertemuan itu guna membahas peraturan teknis pemyelenggaraan pemilu dan kesamaan sikap lembaga pemyelnggara pemilu.,pemyelnggara,penyelenggara
Perhimpunan Telekomunikasi Internasional (ITU) mengamanatkan migrasi layanan analog di seluruh dunia ke teknologi digital tersetrial pada 2015.,tersetrial,terrestrial
"Untuk mendukung penerapan kebijakan tersebut, perusahaan pun telah membentuk Whistlebolwing System (WBS) yang digunakan untuk mengoptimalkan peran serta insan Perseroan maupun mitra kerja dalam menungkap pelanggaran yang terjadi di lingkungan Perusahaan.",Whistlebolwing,Whistleblowing
"Lava bisa menyebabkan air dalam tubuh manuais mendidih dan berubah menjadi uap sehingga manusia akan ""meledak"" dari dalam.",manuais,manusia
"""Wapres juga infromasinya berhalangan hadir di hari puncak nanti, karena beliau baru pulang dari Turki menghadiri pembukaan acara KTT OKI,"" ucapnya.",infromasinya,informasinya
"Tambang tersebut milik perusahana negara di bawah Tonghua Mining (Group) Co., Ltd.",perusahana,perusahaan
"Ia menempati urutan terbelakang dari 67 peserta dan terpaut 50 detik di belaknag peraih medali emas, Tina Maze dari SLovenia.",belaknag,belakang
